Keyword,Significance,Support,Frequency
"акула",0.249539,4,6
"акушерка",0.041882,2,2
"акцент",1.293834,14,15
"акционер",0.941467,10,11
"акция",8.04537,83,110
"алгоритм",1.951329,22,28
"алекситимия",0.013429,2,2
"алиби",0.026597,2,2
"алименты",0.114212,3,5
"алкаш",0.1091,4,6
"алко",0.103513,27,28
"алкоголизм",2.157258,32,48
"алкоголик",1.824463,21,46
"алкоголь",5.079271,46,73
"аллерген",0.057822,3,3
"аллергия",0.714317,13,14
"алмаз",0.130344,2,2
"алоэ",0.028573,3,3
"алтарь",0.384942,5,7
"алфавит",0.210922,4,4
"альбинос",0.014199,2,3
"альбом",8.671965,68,146
"альтернатива",1.30345,15,15
"альтруизм",0.032864,2,2
"альфонс",0.038416,3,3
"алюминий",0.18987,3,4
"ама",0.01939,3,10
"амбассадор",0.058735,8,14
"амбиция",0.77837,9,9
"американец",1.900637,17,35
"американка",0.167111,4,4
"аминокислота",0.137407,4,4
"амо",0.058964,2,3
"ампула",0.02521,2,10
"амуниция",0.047494,2,3
"анализ",5.048978,53,65
"анализ крови",1.183123,1,3
"аналитик",1.317075,15,16
"аналитика",0.797613,11,11
"аналитическое исследование",1.806614,3,3
"аналог",1.291203,14,15
"аналогия",0.317949,4,4
"анамнез",0.038926,2,2
"ананас",0.191509,6,11
"ангел",2.167879,16,40
"англ",0.032041,6,7
"английскийхудожник",0.013429,2,2
"андроид",0.115971,8,8
"анекдот",0.673038,9,9
"анемия",0.032932,4,6
"анемона",0.013429,2,2
"аниматор",0.106086,5,5
"анимация",0.819801,18,18
"аниме",0.11225,8,10
"анимешник",0.017273,3,6
"анкета",1.165099,16,20
"анкетирование",0.046228,1,2
"аномалия",0.061234,2,2
"анонс",0.212953,6,6
"анорексия",0.051493,5,5
"ансамбль",0.263036,3,3
"анти",0.013429,2,2
"антибиотик",0.248277,6,6
"антиколлектор",0.013429,2,2
"антикошка",0.012424,1,2
"антилопа",0.035921,3,5
"антиоксидант",0.144537,5,5
"антирекорд",0.013429,2,2
"антисептик",0.024374,1,3
"антиутопия",0.06184,4,4
"антихрист",0.059198,2,4
"ану",0.013429,2,2
"аншлаг",0.059979,1,2
"апартамент",0.160426,2,5
"апач",0.01481,1,2
"апдейт",0.013429,2,2
"апельсин",0.564593,9,13
"апельсиновая корка",0.084654,1,2
"аплодисменты",0.28948,4,4
"апокалипсис",0.331571,8,12
"апостол",0.228649,3,3
"аппарат",1.499797,16,18
"аппетит",2.182227,27,35
"аппликация",0.089426,2,2
"аптека",1.515742,15,23
"аптечка",0.044788,2,2
"арахис",0.045427,2,3
"арбитр",0.118696,2,2
"аргентинец",0.055834,2,3
"аргумент",2.052672,23,23
"аргументация",0.073704,2,2
"арена",0.629982,7,8
"аренда",2.14581,19,31
"арендатор",0.24888,2,5
"арест",0.893667,9,11
"аритмия",0.032864,2,2
"арка",0.190829,4,4
"аркада",0.039061,6,6
"аркан",0.016924,1,3
"армеец",0.299564,5,5
"армия",2.377418,25,29
"армянин",0.117086,2,2
"аромат",2.086531,24,26
"ароматерапия",0.048258,3,5
"арсенал",0.827033,11,11
"арт",0.942515,20,37
"арта",0.013429,2,2
"артерия",0.136006,4,5
"артефакт",0.466266,11,12
"артикль",0.038467,7,11
"артикул",0.016122,2,2
"артист",5.012691,49,67
"артистка",1.250069,15,21
"артишок",0.013086,2,2
"артрит",0.121351,7,9
"арттерапия",0.012969,1,3
"арх",0.017157,1,2
"археология",0.085131,2,2
"архетип",0.039635,3,3
"архив",2.064795,24,24
"архиепископ",0.059979,1,2
"архипелаг",0.168346,3,4
"архитектор",0.931808,11,11
"архитектура",3.2015,31,42
"асана",0.034049,5,10
"асимметрия",0.118051,5,5
"аскетизм",0.0748,5,5
"аспект",1.580337,17,19
"аспирант",0.271186,4,7
"аспирин",0.055736,2,5
"ассасин",0.019438,3,3
"ассемблер",0.018399,4,6
"ассортимент",1.345731,15,18
"ассоциация",1.283182,18,18
"астероид",0.049601,3,4
"астма",0.126084,4,6
"астрагал",0.012424,1,2
"астрал",0.067159,5,5
"астролог",0.055087,2,4
"астрология",0.050579,2,4
"астроном",0.142003,3,3
"асть",0.013163,1,5
"атеросклероз",0.123626,6,9
"атмосфера",6.753075,71,84
"атмосферность",0.015143,3,3
"атрибут",0.429893,5,6
"атрибутика",0.089693,2,4
"атрофия",0.020121,2,2
"ать",0.019515,6,6
"аудио",0.523276,12,12
"аудиогид",0.021782,3,4
"аудиозапись",0.063815,2,2
"аудиокнига",0.092014,6,7
"аудиосериал",0.013086,2,2
"аудирование",0.016122,2,2
"аудит",0.417283,6,6
"аудитория",7.667689,72,105
"аукцион",0.649684,7,8
"аура",0.413472,12,15
"аурелиано",0.013429,2,2
"аут",0.026597,2,2
"аутентификация",0.048913,4,6
"аутсайдер",0.08068,2,2
"аутфит",0.02155,7,7
"афера",0.255138,5,6
"аферист",0.181882,7,8
"афиша",1.660884,29,35
"афоризм",0.128364,5,6
"аффирмация",0.015143,3,3
"ахи",0.052806,5,5
"ахромат",0.013429,2,2
"ацидоз",0.01481,1,2
"ацтек",0.055736,2,5
"ашрам",0.014114,3,3
"аэродром",0.157553,2,2
"аэропорт",0.809307,9,9
"аэросъёмка",0.023715,8,8
"аюрвед",0.016367,2,3
"аюрведа",0.06261,18,18
"баба",1.219955,15,17
"бабка",0.70691,12,24
"бабки",0.150148,6,8
"бабло",0.163701,6,6
"бабочка",1.081696,9,18
"бабулька",0.035902,2,3
"бабушка",5.133453,41,85
"баг",0.41397,26,38
"багаж",0.525901,6,7
"багажник",0.113848,2,2
"багбаунти",0.012424,1,2
"багет",0.070686,3,3
"база",6.648807,61,94
"базаотдыха",0.023715,8,8
"базар",0.274495,4,7
"базилик",0.1185,6,7
"байка",0.070686,3,3
"байкер",0.050457,2,2
"бак",0.306399,4,5
"бакалавр",0.068845,2,2
"баклажан",0.063815,2,2
"бакс",0.133039,2,3
"бактерия",0.669157,11,12
"бал",0.139839,2,2
"баланс",3.749633,40,46
"балет",0.263872,3,3
"балкон",0.936205,11,11
"балл",2.349346,21,35
"баллада",0.102215,4,6
"балласт",0.03592,2,2
"бальзам",0.101943,3,3
"банан",0.759442,9,21
"банда",1.73204,19,24
"бандит",3.335844,32,51
"бандитизм",0.050457,2,2
"банк",14.393454,117,267
"банк данных",4.407283,2,2
"банка",0.223719,4,6
"банкет",0.155736,3,4
"банкинг",0.039931,4,5
"банкир",0.204206,2,4
"банкнота",0.039931,4,5
"банкомат",0.55859,7,19
"банкрот",0.504349,9,12
"банкротство",3.470709,23,74
"баночка",0.368513,4,8
"банька",0.047647,2,2
"баня",1.57648,15,27
"бар",2.055464,23,28
"барабан",0.707434,12,12
"барабанная перепонка",0.048545,2,2
"барабанщик",0.053221,2,2
"баран",0.322416,6,8
"баранина",0.076665,2,3
"барбершоп",0.013429,2,2
"бардак",0.095586,2,2
"барин",0.096999,2,3
"барист",0.026597,2,2
"бармен",0.09836,4,5
"барокко",0.116167,3,4
"барометр",0.026597,2,2
"баронет",0.016802,2,2
"барс",0.633938,11,19
"бартер",0.03592,2,2
"барышня",0.33573,5,6
"барьер",1.069693,12,13
"бас",0.193749,8,8
"баскетбол",0.491132,8,8
"баскетболист",0.05955,2,3
"бассейн",1.342387,13,18
"баталия",0.079568,2,2
"батарейка",0.085071,2,3
"батискаф",0.03269,1,8
"баттл",0.015143,3,3
"батюшка",0.259806,4,6
"башмачок",0.023604,4,4
"башня",1.083684,10,15
"баян",0.03662,1,2
"бдение",0.06647,3,3
"бдительность",0.280796,6,7
"бег",0.701712,11,11
"бегство",0.446339,6,8
"бегун",0.077629,3,3
"бедность",0.842405,8,15
"бедный",0.208831,3,3
"бедняга",0.068845,2,2
"бедняк",0.328518,10,10
"бедолага",0.067333,2,2
"бедро",1.096608,18,21
"бедствие",0.332588,4,5
"беженец",0.192516,3,3
"безбожие",0.03592,2,2
"безвыпечка",0.018572,5,5
"бездействие",0.428463,7,8
"безделье",0.233171,14,14
"бездна",0.22259,5,5
"бездорожье",0.062934,2,3
"беззащитность",0.026394,2,3
"безнадёжность",0.044788,2,2
"безобразие",0.156758,2,2
"безопас",0.016857,4,4
"безопасность",6.329526,70,76
"безответственность",0.107583,4,5
"безразличие",0.463233,15,18
"безрассудство",0.032864,2,2
"безубыточность",0.023386,2,2
"безум",0.013429,2,2
"безумие",1.120158,16,23
"безысходность",0.168851,4,4
"бекон",0.094192,3,4
"белка",0.409346,9,14
"белое пятно",1.528323,2,2
"белок",1.213799,14,20
"белочка",0.038002,2,3
"белый цвет",3.325109,4,6
"бельё",1.033521,12,13
"бензин",0.511899,4,8
"бензопила",0.03592,2,2
"берег",2.270782,24,27
"берег реки",2.073802,5,8
"беременная",0.20013,3,3
"беременность",1.29712,15,17
"берет",0.055937,2,2
"берёза",0.405719,3,20
"бес",0.484726,9,9
"бесконечность",1.263876,22,31
"бескорыстие",0.012914,2,2
"беспилотник",0.07468,4,5
"бесплодие",0.131521,5,5
"беспомощность",0.596407,9,23
"беспорядок",0.754985,8,9
"бессмыслица",0.041882,2,2
"бессознательное",0.112468,4,4
"бессонница",0.616326,15,19
"бестселлер",0.593852,16,21
"бета",0.175131,17,17
"бешенство",0.068136,2,2
"библиотека",3.048198,29,43
"библиотекарь",0.327406,5,5
"бизнес",38.066813,307,652
"бикарбонат",0.014687,1,8
"бикини",0.049513,4,4
"билборд",0.03592,2,2
"билет",4.980203,49,70
"билетик",0.069533,2,3
"бин",0.058608,2,2
"бинт",0.075909,2,3
"био",0.029756,2,2
"биография",1.872287,21,23
"биолог",0.082925,2,2
"биология",0.158331,2,2
"биополе",0.013429,1,4
"биоразнообразие",0.049513,4,4
"биоток",0.012424,1,2
"биоэнергия",0.012424,1,2
"биржа",1.24968,13,17
"бирка",0.044788,2,2
"бирюза",0.028328,1,2
"бисер",0.242851,3,3
"бисероплетение",0.016802,2,2
"бисквит",0.037023,3,4
"бита",0.058608,2,2
"битва",3.407003,39,42
"бич",0.069969,3,3
"благодарность",3.870534,38,52
"благодать",0.613317,8,10
"благополучие",2.384289,24,32
"благоприятная возможность",4.185542,4,4
"благородство",0.372557,8,11
"благословение",0.826864,9,10
"благосостояние",1.031269,12,14
"благость",0.055834,2,3
"благотворительность",0.583954,10,11
"благотворительные фонды",3.188254,7,9
"благоустройство",1.139049,13,13
"благочестие",0.061234,2,2
"блаженство",0.489617,11,14
"бланк",2.550525,34,34
"блендер",0.240569,9,10
"блеск",1.002525,11,14
"ближний",0.329887,6,7
"близнец",0.088732,2,3
"близость",1.349201,15,17
"блинчик",0.0839,4,5
"блиц",0.167613,11,14
"блицкурс",0.013429,2,2
"бло",0.013429,2,2
"блог",2.868577,28,37
"блогер",4.50172,44,66
"блогерша",0.012547,2,2
"блок",1.639601,16,24
"блокбастер",0.071295,2,2
"блокировка",0.66589,16,18
"блокнот",0.266918,3,4
"блокчейн",0.015143,3,3
"блондинка",0.444073,8,10
"блоха",0.038693,2,2
"блузка",0.218932,5,8
"блюдо",4.820624,47,63
"боб",0.168888,2,7
"богатая",0.051344,2,2
"богатство",3.556439,38,42
"богатый",0.409091,6,7
"богатырь",0.235392,6,6
"богач",0.26962,5,5
"богомол",0.018108,1,3
"богослужение",0.144714,2,2
"бодрствование",0.11704,4,7
"бодяга",0.01481,1,2
"боевик",10.550336,128,136
"боеприпас",0.115495,2,2
"боец",1.93693,20,26
"божество",0.555295,7,18
"бойфренд",0.029756,2,2
"бок",1.133372,13,13
"бокал",0.79382,11,11
"бокс",0.34752,4,6
"боксёр",0.073704,2,2
"болезнь",17.81974,126,343
"болельщик",0.608369,7,7
"болеутоляющее средство",1.941548,2,2
"болото",0.936562,11,15
"болтливость",0.030719,6,7
"больная",0.196398,3,3
"больница",2.375711,25,29
"большеберцовая кость",0.824859,3,3
"большой палец",3.177819,2,2
"бомба",0.897544,10,11
"бомбардир",0.169259,5,5
"бомбардировка",0.103296,2,2
"бомбер",0.013086,2,2
"бомбочка",0.015143,3,3
"бомж",0.724563,6,20
"бонус",3.163659,37,47
"бор",0.08881,2,2
"бора",0.082912,3,3
"борт",0.939901,10,11
"борщ",0.13631,3,4
"борщевик",0.026394,2,3
"борьба",6.855393,74,85
"борьба с вредителями",0.888744,1,2
"босоножка",0.049601,3,4
"бот",0.41427,35,49
"ботаник",0.068845,2,2
"ботинок",0.184542,2,3
"ботнет",0.015939,3,4
"боулинг",0.057822,3,3
"бочка",0.177667,3,3
"боязнь",0.268487,4,6
"боярышник",0.022395,2,3
"бразилец",0.20208,4,4
"брак",4.972095,47,67
"браконьер",0.098389,3,3
"бракосочетание",0.066351,2,2
"брандмауэр",0.02893,2,4
"брань",0.089426,2,2
"браслет",0.152706,3,3
"брат",4.028539,36,62
"братва",0.105463,17,18
"брательник",0.012424,1,2
"братишка",0.163788,11,11
"браузер",0.733142,11,15
"брахмачарь",0.013956,3,3
"брахмачарьи",0.015174,4,4
"бревно",0.198267,3,4
"бред",0.418453,6,6
"брейк",0.145262,8,9
"бремя",0.87752,11,14
"бренд",10.484401,77,183
"брендинг",0.034931,2,5
"бригада",0.584359,6,7
"бриллиант",0.203605,3,4
"британец",0.311248,4,6
"бритва",0.074831,3,3
"бровь",0.668243,10,11
"бродяга",0.051344,2,2
"брокер",0.776269,11,23
"брокколи",0.058569,4,5
"бронирование",0.222502,4,8
"бронхит",0.242536,10,13
"бронь",0.270457,19,19
"броня",0.331533,8,12
"бросок",0.165772,3,3
"брошенный вызов",1.92485,5,5
"брошь",0.053221,2,2
"брошюра",0.203605,3,4
"брусника",0.02397,1,2
"брутфорс",0.013429,2,2
"брэнд",0.061234,2,2
"брюки",0.957187,11,18
"брюнетка",0.250308,8,11
"бубен",0.03592,1,4
"бубна",0.013884,2,3
"бугор",0.063815,2,2
"будетъ",0.014199,2,3
"будильник",0.077629,3,3
"будни",0.552607,9,10
"будущее",13.55618,136,174
"буерак",0.012424,1,2
"буй",0.066014,3,5
"буйство",0.101943,3,3
"бук",0.075206,3,4
"буква",1.730269,16,24
"букет",0.864803,9,11
"буклет",0.228776,6,6
"буктрейлер",0.012424,1,2
"буктрейлера",0.014199,1,6
"булка",0.141581,4,5
"буллинг",0.013429,2,2
"булочка",0.26863,6,8
"бум",0.115839,2,2
"бумага",4.418482,44,56
"бумажка",0.909061,9,12
"бумеранг",0.03592,2,2
"бункер",0.043882,2,2
"бургер",0.063893,4,7
"буржуй",0.050457,2,2
"бурундук",0.012182,1,2
"буря",1.596882,19,22
"бусина",0.108719,2,2
"бустер",0.021855,3,5
"бутерброд",0.238937,4,6
"бутик",0.224221,4,4
"буткемпа",0.013429,2,2
"буткит",0.012424,1,2
"бутылка",1.676258,16,22
"буфер",0.034599,1,2
"буфет",0.185134,4,4
"бухгалтер",0.233639,3,3
"бухгалтерия",0.118696,2,2
"бухгалтерский учет",0.874682,2,2
"бухта",0.561521,6,8
"быдло",0.099098,2,3
"бык",0.294919,5,6
"быль",0.416591,5,5
"быстрая игра",4.441423,2,2
"быт",1.236668,14,14
"бытовой мусор",2.111672,4,4
"бьюти",0.012424,1,2
"бэк",0.057822,3,3
"бэкдор",0.022829,7,8
"бэкстейдж",0.018572,5,5
"бэнгер",0.013429,2,2
"бэнд",0.013429,2,2
"бюджет",6.03322,58,81
"бюджетирование",0.021782,2,6
"бюджетник",0.190516,3,3
"бюджетные средства",2.478385,3,4
"вагон",1.214519,8,23
"важн",0.012424,1,2
"важное",0.179054,6,6
"ваза",0.186398,3,3
"вайб",0.02111,6,7
"вайбом",0.018572,5,5
"вакансия",0.443687,6,7
"вакцина",0.209673,4,6
"вакцинация",0.105555,3,3
"вал",0.147792,2,2
"валенок",0.066351,2,2
"валентинка",0.06647,3,3
"валериана",0.029756,2,2
"валюта",2.766222,23,43
"валютный курс",2.225274,2,3
"валютный рынок",1.356155,2,2
"вампир",0.290311,8,9
"ванилин",0.01481,1,2
"ваниль",0.096362,4,4
"ванна",1.584801,19,23
"ванная",1.08989,15,18
"ванночка",0.028619,3,5
"варгейм",0.013429,2,2
"вард",0.026264,6,15
"варежка",0.050457,2,2
"варенье",0.597156,5,21
"вариант",12.103271,133,146
"варианта",0.242371,4,4
"вариация",0.411606,7,7
"варикоз",0.013429,2,2
"варка",0.107216,4,4
"варяг",0.055045,1,2
"васан",0.013429,2,2
"василёк",0.038926,2,2
"вата",0.222231,8,13
"ватсап",0.018143,5,5
"вать",0.023927,6,11
"ваф",0.012424,1,2
"вафля",0.082314,5,5
"вахта",0.163251,4,4
"введение",1.33411,16,17
"ввид",0.016802,2,2
"ввод",0.718921,8,8
"вдох",0.227977,12,22
"вдохновение",3.868008,47,47
"вдохновитель",0.08068,2,2
"веб",0.927635,25,38
"вебинар",0.848739,52,80
"веган",0.059449,26,32
"веганрецепты",0.013429,2,2
"веганскиерецепт",0.013429,2,2
"вегетарианец",0.067159,5,5
"вегетарианство",0.15256,11,11
"веда",0.092116,3,3
"веданта",0.014364,2,4
"ведение",3.314544,33,43
"ведение переговоров",1.506466,3,3
"ведомость",0.12796,2,2
"ведомство",1.008505,11,12
"ведро",0.324446,4,4
"ведущая",0.376823,9,9
"ведущий",1.057547,14,16
"ведущий специалист",3.601794,4,4
"ведьма",0.292381,6,8
"веер",0.074831,3,3
"вежливость",0.243633,9,12
"вездеход",0.03794,2,4
"вейпер",0.015143,3,3
"веко",0.961068,11,11
"вектор",0.437538,6,6
"веление",0.194032,4,6
"великан",0.305981,11,11
"великое",0.186971,3,4
"великолепие",0.160261,4,4
"величество",0.069093,1,2
"величие",0.396529,5,5
"велосипед",1.507672,17,18
"велосипедист",0.097567,2,2
"вена",0.20288,3,3
"вение",0.012424,1,2
"веник",0.150879,5,5
"вено",0.049513,4,4
"венок",0.224221,4,4
"вентиляция",0.173044,3,3
"вень",0.016857,4,4
"вера",8.586065,75,141
"верблюд",0.245893,4,5
"вереница",0.053221,2,2
"верность",2.673416,33,43
"верование",0.173066,4,5
"вероятность",2.651408,29,32
"версия",9.889756,115,133
"верстальщик",0.013429,2,2
"вертикалка",0.015143,3,3
"вертолёт",0.749779,8,9
"верующий",0.500301,5,7
"верх",1.289367,15,15
"верхний этаж",1.171366,3,3
"верхушка",1.615116,19,22
"вершина горы",1.224705,2,2
"вершина дерева",1.153696,1,2
"верёвочка",0.109105,3,3
"веселье",0.31086,5,5
"весенна",0.016802,2,2
"весна",8.963887,104,112
"веснушка",0.032864,2,2
"вестерн",0.034791,4,6
"вестибюль",0.122703,4,4
"весточка",0.032864,2,2
"весть",0.555891,6,8
"весёлость",0.233171,14,14
"ветвь",0.382286,4,5
"ветер",2.049109,22,26
"ветеран",0.520034,6,6
"ветеринар",0.203833,5,8
"ветка",0.462824,5,6
"ветчина",0.070637,3,3
"вечеринка",2.16152,26,30
"вещание",0.097567,2,2
"вещество",5.391298,48,77
"взаимность",0.112468,4,4
"взаимодействие",3.133064,31,41
"взаимопомощь",0.078395,2,2
"взаимопонимание",0.343227,5,6
"взаимопроникновение",0.02397,1,2
"взаимосвязь",1.482545,22,25
"взвод",0.200275,4,4
"вздутие",0.02521,4,5
"взло",0.015143,3,3
"взлом",0.511642,19,21
"взлёт",1.198873,16,16
"взнос",0.883034,10,10
"взор",0.624085,9,9
"взросление",0.262011,8,10
"взрослый",5.645616,55,76
"взрыв",0.809307,9,9
"взрывной",0.020121,2,2
"взыскание",1.080223,7,23
"взыскатель",0.045208,2,9
"вибратор",0.012424,1,2
"вивек",0.067818,17,17
"вид сбоку",2.815182,2,3
"вид сверху",4.583393,5,5
"видение",0.582047,6,8
"видео",20.666278,211,268
"видеодайджест",0.015143,3,3
"видеозапись",0.283574,4,4
"видеоигра",0.111143,5,5
"видеоконтент",0.013429,2,2
"видеокурс",0.012743,2,2
"видеомагнитофон",0.023386,2,2
"видеомедитация",0.015143,3,3
"видеонаблюдение",0.194476,3,3
"видеообзор",0.013429,2,2
"видеооператор",0.015143,3,3
"видеоотчет",0.015939,3,4
"видеоправило",0.015939,3,4
"видеоредактор",0.012424,1,2
"видеоролик",0.753689,13,14
"видеоряд",0.06184,4,4
"видеосвязь",0.017157,1,2
"видеосъемка",0.38721,12,12
"видеоурок",0.015143,3,3
"видеохостинг",0.041882,2,2
"видеоэссе",0.013884,2,3
"виджет",0.085427,4,9
"видимость",0.580452,6,7
"видъ",0.012969,1,3
"вижение",0.013429,2,2
"виза",0.849978,8,12
"визитка",0.630149,9,18
"визуал",0.023715,8,8
"визуализация",0.047647,2,2
"викинг",0.155267,5,8
"викторина",0.293201,14,14
"вилка",0.296861,5,5
"вилла",0.209982,3,5
"виль",0.032287,13,13
"вимос",0.015143,3,3
"вимость",0.022829,7,8
"вина",4.731464,45,64
"вино",1.931295,18,26
"виновник",0.27288,4,4
"виноград",0.101421,2,2
"винрейт",0.02303,4,15
"винтовка",0.131677,2,2
"вирус",0.998607,11,14
"вис",0.012424,1,2
"виски",0.097567,2,2
"висок",0.087297,2,2
"витамин",2.241394,19,42
"виток",0.182117,3,3
"витрина",0.128043,2,2
"вица",0.069141,12,13
"вичар",0.011905,1,2
"вишня",0.27026,6,8
"вка",0.013429,2,2
"вклад",2.982738,30,39
"вкладка",0.192276,4,5
"вкладчик",0.650127,10,13
"включение",0.495843,5,7
"вкрапление",0.041882,2,2
"вкус",8.322526,71,124
"вкусность",0.169259,5,5
"вкуснятина",0.041791,5,5
"вкусняшк",0.013429,2,2
"вкусняшка",0.052984,4,4
"влага",0.747766,10,10
"влагалище",0.026597,2,2
"владелец",6.700038,67,92
"владение",0.534162,6,6
"владыка",0.237097,6,6
"влажность",0.296861,5,5
"властелин",0.092116,3,3
"власть",5.803022,58,77
"влечение",0.196867,4,5
"влияние",9.535213,93,132
"вложение",1.64981,18,19
"влюблённость",0.090919,2,3
"вмешательство",1.353519,15,16
"внатура",0.018572,5,5
"внедорожник",0.099512,2,2
"внедрение",1.477036,17,19
"внесение",0.563955,6,7
"внешний мир",6.630146,5,5
"внешний объект",2.504505,3,3
"внешность",1.754502,21,21
"внимание",16.77397,173,216
"внимательность",0.124843,5,5
"внук",0.996855,10,13
"внут",0.013429,2,2
"внутреннее напряжение",2.038413,2,2
"внутреннее пространство",1.504015,1,3
"внутреннее состояние",5.824908,8,8
"внутренний орган",3.362341,5,5
"внутренность",0.078395,2,2
"внутрянка",0.022,7,7
"внучек",0.260077,5,6
"вовлечение",0.250688,4,4
"вовлечённость",0.149575,6,6
"вод",0.440445,7,7
"вода",19.796087,166,304
"водила",0.048182,3,3
"водитель",1.616273,16,22
"водичка",0.105807,3,4
"водка",1.339114,12,19
"водные ресурсы",1.652457,2,2
"водоворот",0.167509,6,7
"водолазка",0.026167,1,2
"водоносный горизонт",0.534358,2,2
"водоотведение",0.099512,2,2
"водопад",0.20389,4,4
"водоросль",0.337945,8,9
"водоснабжение",0.260742,3,3
"водохранилище",0.269082,2,5
"водоём",0.932026,10,15
"водяная баня",0.895582,3,4
"водянка",0.025181,3,3
"воевода",0.052096,1,3
"военачальник",0.07607,2,2
"военкомат",0.108719,2,2
"военнослужащий",0.209657,2,3
"военные действия",2.41609,2,2
"военный",1.131739,13,13
"вожделение",0.610111,10,33
"воз",0.187263,4,4
"возбудимость",0.032631,4,5
"возбуждение",0.975292,10,12
"возврат",1.502717,15,20
"возвращение",2.939922,33,36
"возвышение",0.175175,5,5
"возглас",0.67488,18,21
"возгорание",0.23846,4,5
"воздержание",0.12294,6,6
"воздух",3.831108,39,49
"воздушная подушка",0.639698,2,2
"воззрение",0.103296,2,2
"возлюбленная",0.362115,11,12
"возлюбленный",0.403277,10,11
"возмущение",1.248818,11,21
"возникновение",1.385332,15,16
"возражение",0.155191,2,3
"возраст",7.631342,83,96
"возрастная группа",3.141609,2,2
"возращение",0.020121,2,2
"воин",1.350563,15,18
"воинство",0.037099,2,2
"вой",0.037099,2,2
"война",6.056044,61,87
"войско",0.714923,7,9
"вокал",1.103241,22,26
"вокалист",0.491565,10,15
"вокалистка",0.026155,5,5
"вокзал",0.624329,6,8
"вол",0.056108,2,3
"волейбол",0.079805,1,2
"волк",0.498455,6,9
"волна",4.038145,39,55
"волокно",0.099512,2,2
"волонтёрство",0.168468,10,16
"волос",7.157905,48,138
"волчанка",0.015143,3,3
"волчок",0.022047,2,2
"волшебница",0.181526,7,9
"вольер",0.08207,2,3
"воля",5.933945,61,80
"вонь",0.048258,3,5
"воплощение",5.890197,48,96
"вопль",0.168242,3,3
"вор",1.039715,12,12
"воришка",0.032864,2,2
"воровка",0.016802,2,2
"ворон",0.060018,2,2
"ворона",0.090722,3,3
"воронка",0.862932,18,42
"воронко",0.054276,3,5
"воронок",0.053659,3,4
"ворот",1.998363,21,24
"ворота",0.822056,9,10
"ворчун",0.016802,2,2
"воск",0.11623,1,13
"воспаление",0.630221,10,17
"воспевание",0.013429,2,2
