First node,Second node,Tension,Support
"выход","папка",0.401333,41
"жизнь","качество",0.40087,71
"друг","статья",0.399192,81
"художник","холст",0.395239,40
"монтаж","репак",0.392446,33
"заявка","графа",0.391538,33
"бизнес","предпринимательство",0.391304,74
"диск","папка",0.387398,44
"особенность","репак",0.384376,33
"жизнь","счастье",0.382549,59
"папка","озвучка",0.380881,43
"интерфейс","папка",0.380881,43
"игра","персонаж",0.380648,53
"заявка","заполнение",0.380093,33
"участник","момент выхода",0.378677,30
"жизнь","глаз",0.37816,82
"жизнь","дом",0.377636,123
"должность","момент выхода",0.376261,30
"ответ","момент выхода",0.375151,30
"жизнь","книга",0.374146,73
"заявка","момент выхода",0.372861,30
"ответ","бланк",0.372291,32
"доктор","консультация",0.372269,67
"ребёнок","мать",0.370417,73
"жизнь","опыт",0.370262,77
"масло","холст",0.369249,40
"жизнь","женщина",0.366851,113
"озвучка","репак",0.366163,33
"монтаж","память",0.365908,77
"участник","заполнение",0.365015,32
"издание","репак",0.364379,32
"жизнь","понимание",0.363416,55
"жизнь","рука",0.362683,96
"жизнь","поведение",0.361579,48
"ответ","заполнение",0.361386,32
"диск","репак",0.361316,33
"жизнь","внимание",0.356766,77
"сообщение","груминг",0.356297,36
"конкурс","момент выхода",0.355636,30
"участник","графа",0.35422,31
"участник","бланк",0.35422,31
"работа","проблема",0.353474,101
"статья","консультация",0.352792,64
"выход","монтаж",0.352546,72
"память","репак",0.352103,31
"игра","группа",0.352059,129
"должность","бланк",0.351919,31
"жизнь","гибель",0.351436,57
"любовь","сердце",0.351357,77
"ответ","графа",0.350858,31
"заявка","бланк",0.348667,31
"язык","выход",0.348597,79
"жизнь","деньги",0.34759,100
"интерфейс","репак",0.347324,32
"жизнь","воплощение",0.345857,37
"дорога","сознание",0.345454,56
"жизнь","зависимость",0.345207,33
"жизнь","личность",0.341017,40
"жизнь","влияние",0.340294,53
"жизнь","организм",0.339584,51
"момент выхода","поле",0.337265,30
"жизнь","обычай",0.336932,45
"жизнь","голова",0.336892,75
"игра","головоломка",0.334463,28
"жизнь","детство",0.332463,44
"конкурс","графа",0.33208,31
"конкурс","бланк",0.33208,31
"должность","графа",0.330913,30
"жизнь","стресс",0.329592,42
"работа","опыт",0.324687,71
"конкурс","заполнение",0.322428,31
"поле","заполнение",0.32219,32
"должность","заполнение",0.321195,30
"жизнь","потребность",0.320733,49
"друг","любовь",0.319495,93
"игра","противник",0.31719,51
"жизнь","ценность",0.316939,39
"жизнь","достижение",0.316902,50
"жизнь","свобода",0.316073,44
"жизнь","родитель",0.315967,56
"память","таблетка",0.31496,36
"поле","графа",0.314303,31
"поле","бланк",0.314303,31
"жизнь","земля",0.31334,75
"работа","намерение",0.312309,80
"жизнь","свойство",0.31171,61
"игра","особенность",0.30968,60
"жизнь","удовольствие",0.309473,54
"жизнь","трудность",0.308918,40
"жизнь","провал",0.30818,35
"любовь","отношение",0.307028,73
"жизнь","развитие",0.305773,90
"жизнь","мужчина",0.305359,103
"жизнь","реальность",0.301498,46
"жизнь","здоровье",0.300634,66
"мелодия","альбом",0.298928,43
"жизнь","препятствие",0.297948,32
"жизнь","уверенность",0.297948,32
"ребёнок","брак",0.297858,33
"бизнес","развитие",0.296875,86
"жизнь","положение",0.295867,37
"игра","таблетка",0.295523,34
"ссылка","кабинет",0.295479,51
"жизнь","мать",0.293257,67
"жизнь","история",0.293252,101
"жизнь","выбор",0.291625,61
"жизнь","отец",0.291625,61
"сила","горе",0.290736,55
"сила","ощущение",0.290511,79
"жизнь","жена",0.288603,57
"жизнь","покой",0.288362,38
"жизнь","мозг",0.286502,41
"жизнь","брак",0.286283,33
"хакер","ный",0.285405,29
"бизнес","продвижение",0.285297,39
"жизнь","психотерапия",0.283683,26
"монтаж","таблетка",0.282457,34
"жизнь","вера",0.282152,43
"жизнь","последствие",0.281682,40
"ощущение","мысль",0.279873,67
"игра","оружие",0.279352,36
"язык","таблетка",0.27918,33
"система","интерфейс",0.278797,50
"запись","груминг",0.278783,32
"сила","мысль",0.274891,65
"система","монтаж",0.274286,60
"жизнь","процесс",0.274135,74
"участник","конкурс",0.273705,56
"жизнь","общение",0.27364,51
"жизнь","знание",0.27266,55
"система","диск",0.272087,48
"жизнь","потеря",0.271855,39
"работа","дело",0.271007,100
"жизнь","эмоция",0.270035,49
"бизнес","кабинет",0.268853,48
"особенность","диск",0.267176,51
"язык","особенность",0.267091,56
"сила","желание",0.266603,73
"доктор","статья",0.265488,66
"заявка","конкурс",0.265322,56
"дело","намерение",0.265254,73
"жизнь","забота",0.26512,43
"жизнь","роман",0.264309,29
"сила","действие",0.264176,77
"жизнь","алкоголизм",0.263871,26
"банк","кредит",0.263818,40
"деньги","банк",0.263291,52
"бизнес","идея",0.263208,69
"издание","таблетка",0.262694,33
"бизнес","продажа",0.259881,52
"класс","мастер",0.259855,50
"диск","таблетка",0.259821,34
"жизнь","свет",0.259693,53
"выход","таблетка",0.259565,32
"предприниматель","социальноепредпринимательство",0.25869,37
"дорога","мысль",0.258536,63
"жизнь","стыд",0.258375,22
"любовь","ощущение",0.258365,75
"работа","процесс",0.257661,70
"жизнь","событие",0.257214,65
"ребёнок","отношение",0.257158,66
"жизнь","закон",0.256465,59
"сила","дорога",0.25628,95
"рецепт","сыроедение",0.255704,23
"деньги","мошенник",0.255432,35
"сила","сознание",0.255271,48
"проект","бизнес",0.25471,89
"игра","локация",0.254203,27
"жизнь","судьба",0.253233,39
"жизнь","недостаток",0.252672,38
"ребёнок","отец",0.252574,55
"жизнь","надежда",0.252498,35
"жизнь","психолог",0.252248,25
"друг","мысль",0.252094,63
"сила","любовь",0.251967,82
"жизнь","алкоголь",0.251257,31
"ощущение","слабость",0.250797,27
"дело","мысль",0.250499,62
"таблетка","озвучка",0.250256,33
"интерфейс","таблетка",0.250256,33
"ощущение","вина",0.250236,30
"жизнь","интерес",0.249821,40
"боевик","фантастика",0.24964,40
"ощущение","тело",0.248538,61
"жизнь","принцип",0.248403,33
"жизнь","нейрографик",0.248174,23
"рецепт","делаемслюбовье",0.248156,22
"сила","тело",0.248072,60
"система","озвучка",0.247797,47
"игра","сюжет",0.247122,39
"основа","репак",0.246111,26
"жизнь","представление",0.245723,28
"сила","намерение",0.244161,70
"группа","альбом",0.243963,37
"проблема","болезнь",0.243431,52
"жизнь","интеллект",0.242432,35
"сила","отношение",0.242026,64
"жизнь","ошибка",0.241676,50
"проект","развитие",0.241348,77
"проблема","мысль",0.241296,61
"жизнь","вина",0.240639,30
"жизнь","наркомания",0.24063,24
"выход","репак",0.240397,25
"рецепт","рецептысыроед",0.240338,21
"ребёнок","любовь",0.239979,80
"жизнь","поддержка",0.239898,97
"работа","бизнес",0.239306,88
"жизнь","нога",0.238959,50
"особенность","озвучка",0.237469,49
"жизнь","социальнаяпомощь",0.236324,22
"жизнь","лечениенаркоманиивсанкт",0.236324,22
"жизнь","пивнойалкоголизм",0.236324,22
"жизнь","выводиззапоя",0.236324,22
"жизнь","героиноваязависимость",0.236324,22
"жизнь","логотерапия",0.236324,22
"жизнь","телесноориентированнаятерапия",0.236324,22
"жизнь","лечениенаркомание",0.236324,22
"жизнь","лечениеалкоголизм",0.236324,22
"жизнь","консультацияпсихолог",0.236324,22
"жизнь","логос",0.236324,22
"система","издание",0.235692,52
"игра","герой",0.235488,63
"рука","нога",0.23527,48
"ощущение","отношение",0.234697,64
"жизнь","обязанность",0.234215,40
"друг","страдание",0.234003,55
"работа","деньги",0.232962,81
"работа","ощущение",0.23285,72
"рецепт","ппрецепт",0.23225,20
"жизнь","заблуждение",0.231874,24
"дорога","вивек",0.231445,17
"турнир","расписание",0.230584,30
"работа","результат",0.230335,68
"деньги","доход",0.230119,37
"сила","организм",0.229764,41
"дом","семья",0.229644,69
"особенность","интерфейс",0.229401,48
"болезнь","лечение",0.228942,40
"жизнь","добро",0.228742,41
"жизнь","родственник",0.227994,31
"вода","литр",0.227836,17
"друг","ощущение",0.227615,71
"бизнес","услуга",0.227436,56
"канал","ютьюб",0.227277,17
"жизнь","алко",0.226523,22
"проект","грамотность",0.226206,31
"сообщение","запись",0.226008,57
"рецепт","веган",0.225952,23
"ребёнок","женщина",0.225499,86
"бизнес","маркетинг",0.225262,36
"бизнес","клиент",0.224868,54
"ребёнок","дом",0.223875,92
"жизнь","слабость",0.223711,26
"жизнь","созависимость",0.223665,24
"жизнь","гармония",0.223206,30
"бизнес","инструмент",0.223146,51
"жизнь","риск",0.223008,43
"жизнь","нарко",0.222979,20
"жизнь","алкоголик",0.222215,19
"ощущение","сознание",0.221368,45
"игра","сражение",0.221288,22
"жизнь","одиночество",0.221237,27
"друг","сердце",0.220802,61
"друг","общение",0.220632,45
"сознание","вивек",0.219918,17
"желание","мысль",0.219853,59
"зож","ялюблюжизнь",0.219476,41
"доктор","лечение",0.219373,38
"друг","отношение",0.219342,62
"память","особенность",0.218645,52
"новость","дайджест",0.218528,20
"игра","экшен",0.218503,21
"бизнес","ссылка",0.217902,69
"работа","отношение",0.217778,62
"ребёнок","жена",0.217487,48
"сила","болезнь",0.217114,49
"сила","удовольствие",0.217077,44
"жизнь","муж",0.217046,43
"канал","телегра",0.217046,20
"жизнь","богатство",0.216947,26
"жизнь","переживание",0.216947,26
"болезнь","организм",0.216671,42
"система","память",0.216444,54
"страх","горе",0.2164,48
"работа","система",0.216346,75
"жизнь","произведение",0.215954,24
"зож","сыроедение",0.215735,23
"жизнь","сон",0.215694,41
"предпринимательство","социальноепредпринимательство",0.215153,34
"ребёнок","супруг",0.215122,27
"работа","желание",0.215023,67
"жизнь","источник",0.21493,37
"работа","сила",0.213935,89
"жизнь","сфера",0.213568,48
"издание","архив",0.213564,20
"друг","дорога",0.213499,89
"проблема","подход",0.213454,39
"игра","хоррор",0.213335,18
"группа","музыкант",0.212971,32
"система","особенность",0.212139,49
"зож","делаемслюбовье",0.211557,22
"награда","номинация",0.211206,26
"жизнь","основа",0.211187,48
"ощущение","стресс",0.210967,33
"работа","проект",0.21081,90
"жизнь","попытка",0.21053,26
"ощущение","психотерапия",0.210486,22
"работа","компания",0.210374,73
"поддержка","приём",0.210259,48
"проект","участие",0.2102,66
"жизнь","учение",0.210128,18
"работа","мысль",0.209975,58
"жизнь","необходимость",0.209697,38
"бизнес","компания",0.209165,71
"жизнь","люди",0.20895,22
"игра","компьютер",0.208376,30
"любовь","забота",0.208234,37
"жизнь","мышление",0.208185,28
"жизнь","правило",0.207736,53
"работа","клиент",0.207724,53
"язык","противник",0.207679,41
"дорога","осознанность",0.207293,21
"проект","свалка",0.207219,21
"жизнь","успех",0.207022,65
"зож","рецептысыроед",0.20696,21
"язык","сражение",0.206292,21
"работа","развитие",0.206001,73
"сила","посланник",0.205643,16
"дорога","ютьюб",0.205619,16
"проект","предпринимательство",0.205255,53
"бизнес","сфера",0.205168,45
"игра","геймер",0.204975,22
"ощущение","зависимость",0.204804,25
"жизнь","плечо",0.204779,23
"отель","эко",0.20429,23
"бизнес","участие",0.204064,65
"дорога","горе",0.204018,46
"выход","противник",0.203997,41
"ялюблюжизнь","делаемслюбовье",0.203892,22
"группа","рок",0.203742,27
"дело","ощущение",0.203697,66
"работа","исследование",0.20361,48
"работа","понимание",0.203397,41
"жизнь","супруг",0.203391,27
"ощущение","социальнаяпомощь",0.203274,20
"ощущение","лечениенаркоманиивсанкт",0.203274,20
"ощущение","пивнойалкоголизм",0.203274,20
"ощущение","выводиззапоя",0.203274,20
"ощущение","героиноваязависимость",0.203274,20
"ощущение","логотерапия",0.203274,20
"ощущение","телесноориентированнаятерапия",0.203274,20
"ощущение","лечениенаркомание",0.203274,20
"ощущение","лечениеалкоголизм",0.203274,20
"ощущение","консультацияпсихолог",0.203274,20
"ощущение","логос",0.203274,20
"триллер","детектив",0.202788,31
"игра","прохождение",0.202779,28
"ребёнок","сын",0.202755,35
"канал","вивек",0.202718,16
"жизнь","общество",0.202605,36
"монтаж","особенность",0.202571,50
"жизнь","изменение",0.202136,55
"дом","комната",0.202089,29
"зож","ппрецепт",0.201945,20
"воля","вивек",0.201804,17
"альбом","пластинка",0.201704,20
"работа","дорога",0.200896,87
"жизнь","порядок",0.200651,44
"работа","организм",0.200649,39
"система","архив",0.200554,19
"жизнь","исследование",0.20053,49
"любовь","разговор",0.200422,51
"ялюблюжизнь","рецептысыроед",0.199966,21
"язык","архив",0.199711,19
"релиз","репак",0.199628,24
"сила","сердце",0.199619,57
"жизнь","преодоление",0.199015,18
"жизнь","грех",0.199015,18
"дорога","желание",0.198997,63
"жизнь","гнев",0.198636,26
"сила","проблема",0.198074,75
"жизнь","разочарование",0.19806,16
"дело","проблема",0.198,75
"игра","дополнение",0.19789,20
"жизнь","усилие",0.197696,33
"болезнь","доктор",0.197182,48
"ощущение","созависимость",0.19682,22
"сознание","ютьюб",0.196725,16
"сознание","посланник",0.196725,16
"издание","особенность",0.196462,50
"память","архив",0.196372,19
"друг","дело",0.196314,86
"жизнь","подход",0.196273,39
"сила","свойство",0.196238,47
"монтаж","архив",0.195893,19
"любовь","душа",0.195726,55
"ялюблюжизнь","ппрецепт",0.195592,20
"ощущение","нейрографик",0.195469,20
"ощущение","алко",0.195469,20
"дело","горе",0.195185,45
"компьютер","репак",0.195129,26
"сыроедение","ялюблюжизнь",0.194982,22
"игра","архив",0.194822,19
"сила","радость",0.194765,41
"канал","сатсанг",0.194533,18
"сила","реальность",0.194492,36
"дорога","воля",0.194279,31
"жизнь","удовлетворённость",0.194278,20
"жизнь","будущее",0.194234,51
"особенность","архив",0.194017,19
"жизнь","практика",0.193812,45
"игра","механика",0.193584,21
"хакер","ние",0.19356,18
"ощущение","горе",0.193504,45
"жизнь","автор",0.193403,44
"желание","радость",0.192518,41
"ощущение","наркомания",0.192455,21
"друг","болезнь",0.192189,47
"поддержка","потребность",0.192156,37
"язык","головоломка",0.192055,21
"бизнес","мероприятие",0.192021,45
"марафон","вивек",0.19193,17
"дорога","ощущение",0.191494,64
"сила","дело",0.191471,82
"вода","соль",0.191166,26
"кредит","кредитор",0.191128,20
"жизнь","род",0.191093,31
"жизнь","движение",0.191078,44
"ощущение","реакция",0.191063,27
"зож","веган",0.190708,23
"финграмотность","финансоваяграмотность",0.190662,18
"книга","бестселлер",0.190547,15
"ребёнок","болезнь",0.190533,46
"жизнь","дух",0.190321,33
"друг","сила",0.190026,84
"любовь","проявление",0.189957,24
"сила","препятствие",0.189827,25
"друг","желание",0.189634,63
"архив","озвучка",0.189583,19
"интерфейс","архив",0.189583,19
"сила","проявление",0.189582,24
"работа","поддержка",0.189434,84
"услуга","товар",0.188967,36
"монтаж","противник",0.188879,40
"ощущение","действие",0.188847,64
"мать","отец",0.18881,49
"группа","мелодия",0.18851,49
"диск","архив",0.188374,19
"бизнес","социальноепредпринимательство",0.187984,31
"язык","компьютер",0.187818,28
"сила","стресс",0.187597,31
"система","организм",0.187366,37
"жизнь","воспоминание",0.186708,22
"работа","контроль",0.18662,57
"жизнь","пища",0.1866,47
"сознание","учение",0.186507,17
"сила","свобода",0.186423,33
"семья","родитель",0.18617,42
"жизнь","психотерапевт",0.185907,16
"жизнь","бестселлер",0.185851,15
"проблема","ощущение",0.185753,63
"дорога","намерение",0.185429,61
"работа","мышление",0.184958,26
"проект","конкурс",0.184496,45
"зож","вивек",0.184393,17
"ребёнок","мужчина",0.184175,77
"жизнь","другое",0.183786,28
"женщина","муж",0.183688,38
"момент выхода","заполнение",0.183499,30
"работа","ребёнок",0.183343,88
"работа","специалист",0.183241,50
"работа","движение",0.183239,42
"папка","таблетка",0.183232,34
"болезнь","расстройство",0.182985,18
"дом","муж",0.182926,38
"жизнь","совет",0.182923,45
"друг","рука",0.182614,68
"книга","читатель",0.182466,21
"монтаж","компьютер",0.182312,28
"работа","болезнь",0.18228,46
"игра","симулятор",0.182231,20
"работа","поведение",0.182004,34
"жизнь","человечество",0.181916,30
"сила","душа",0.181876,53
"деньги","кредит",0.181809,31
"воля","ютьюб",0.18171,16
"память","противник",0.181536,39
"проект","новостинацпроектаэкология",0.181529,13
"ощущение","эмоция",0.181495,39
"деньги","обязанность",0.181492,34
"доктор","организм",0.181322,37
"любовь","желание",0.180505,60
"ощущение","стыд",0.180318,18
"дело","желание",0.180276,60
"жизнь","критика",0.180193,22
"жизнь","отказ",0.180193,22
"сила","причина",0.180154,47
"диск","головоломка",0.17998,21
"ощущение","алкоголизм",0.179938,21
"ялюблюжизнь","вивек",0.179777,17
"жизнь","карьера",0.179751,31
"сила","общение",0.179369,40
"работа","обстоятельство",0.179237,36
"кредит","заём",0.179214,22
"ощущение","переживание",0.179203,23
"проблема","горе",0.178823,43
"жизнь","реакция",0.178604,27
"работа","причина",0.178464,48
"ребёнок","возраст",0.17812,35
"ощущение","желание",0.178078,60
"проблема","организм",0.177838,36
"сила","воплощение",0.177658,26
"компания","клиент",0.177594,48
"система","основа",0.177004,42
"отношение","мысль",0.176812,53
"любовь","мысль",0.176649,52
"дорога","сатсанг",0.176572,17
"сила","покой",0.176431,29
"бизнес","товар",0.176387,34
"момент выхода","графа",0.176325,30
"момент выхода","бланк",0.176325,30
"проблема","стресс",0.176309,30
"система","компьютер",0.176085,27
"бизнес","рынок",0.175976,33
"хакер","ность",0.175935,15
"друг","кровь",0.175759,25
"намерение","обстоятельство",0.175699,35
"любовь","жар",0.175617,24
"система","болезнь",0.175285,44
"работа","голова",0.174506,54
"жизнь","идея",0.174376,60
"сообщение","хвостик",0.174335,27
"жизнь","ожидание",0.174253,27
"жизнь","принятие",0.174061,22
"банк","кредитор",0.174048,18
"боевик","триллер",0.173943,43
"жизнь","посланник",0.173776,15
"жизнь","агрессия",0.173619,14
"марафон","ютьюб",0.173484,16
"альбом","сингл",0.173483,21
"игра","графика",0.173338,21
"жизнь","роль",0.17314,52
"ребёнок","муж",0.172998,37
"бизнес","эксперт",0.172957,53
"созависимость","нарко",0.172718,23
"алкоголизм","нарко",0.172718,23
"друг","действие",0.172508,64
"йог","делаемслюбовье",0.172143,22
"дело","отношение",0.172056,54
"память","головоломка",0.172016,20
"поддержка","развитие",0.171916,65
"ребёнок","детство",0.171787,31
"жизнь","дочь",0.171559,32
"работа","сотрудник",0.171336,35
"жизнь","благополучие",0.171234,18
"противник","диск",0.171104,40
"йог","рецептысыроед",0.170993,21
"созависимость","социальнаяпомощь",0.170987,26
"созависимость","лечениенаркоманиивсанкт",0.170987,26
"созависимость","пивнойалкоголизм",0.170987,26
"созависимость","выводиззапоя",0.170987,26
"созависимость","героиноваязависимость",0.170987,26
"созависимость","логотерапия",0.170987,26
"созависимость","телесноориентированнаятерапия",0.170987,26
"созависимость","лечениенаркомание",0.170987,26
"созависимость","лечениеалкоголизм",0.170987,26
"созависимость","консультацияпсихолог",0.170987,26
"логос","созависимость",0.170987,26
"алкоголизм","социальнаяпомощь",0.170987,26
"алкоголизм","лечениенаркоманиивсанкт",0.170987,26
"алкоголизм","пивнойалкоголизм",0.170987,26
"алкоголизм","выводиззапоя",0.170987,26
"алкоголизм","героиноваязависимость",0.170987,26
"алкоголизм","логотерапия",0.170987,26
"алкоголизм","телесноориентированнаятерапия",0.170987,26
"алкоголизм","лечениенаркомание",0.170987,26
"алкоголизм","лечениеалкоголизм",0.170987,26
"алкоголизм","консультацияпсихолог",0.170987,26
"алкоголизм","логос",0.170987,26
"дело","деньги",0.170956,68
"семья","супруг",0.170758,24
"жизнь","рождение",0.170687,33
"работа","увеличение",0.170662,44
"память","локация",0.170544,22
"работа","глава",0.170494,45
"дело","опыт",0.170457,51
"сила","страх",0.170143,57
"дело","разговор",0.170086,47
"издание","головоломка",0.170031,20
"поддержка","горе",0.170001,42
"рецепт","йог",0.169957,22
"мелодия","плейлист",0.169863,23
"жизнь","встреча",0.169811,61
"работа","сфера",0.169591,42
"зож","сатсанг",0.169571,19
"сознание","сатсанг",0.169295,17
"йог","ппрецепт",0.169267,20
"поддержка","чистои",0.169044,12
"поддержка","краи",0.169044,12
"ребёнок","горе",0.169031,42
"ощущение","нарко",0.168808,17
"город","житель",0.168518,37
"работа","товар",0.168466,34
"выход","окружение",0.168327,26
"город","район",0.168199,32
"хакер","виль",0.168086,13
"особенность","компьютер",0.168048,27
"жизнь","взаимосвязь",0.168026,17
"обращение","отход",0.167972,24
"любовь","радость",0.167962,38
"жизнь","признание",0.167805,24
"жизнь","писатель",0.16778,23
"намерение","мысль",0.167762,51
"жизнь","мечта",0.167733,33
"работа","семья",0.167625,61
"жизнь","склонность",0.167389,19
"действие","последствие",0.167359,30
"жизнь","увеличение",0.167341,45
"доктор","препарат",0.1672,17
"зож","ютьюб",0.167197,16
"женщина","жена",0.167167,42
"жизнь","образование",0.167119,35
"сила","недостаток",0.166947,30
"ощущение","болезнь",0.166748,43
"ребёнок","поведение",0.16668,32
"герой","персонаж",0.166634,35
"проект","заявка",0.166632,52
"дело","обстоятельство",0.166387,34
"банк","финансоваяграмотность",0.166303,15
"приём","чистои",0.166303,12
"приём","краи",0.166303,12
"жизнь","результат",0.166219,61
"продажа","маркетинг",0.166209,32
"проект","программа",0.165998,60
"озвучка","головоломка",0.165886,20
"интерфейс","головоломка",0.165886,20
"мелодия","пластинка",0.165813,17
"работа","влияние",0.165753,37
"дело","успех",0.16575,55
"жизнь","машина",0.165719,53
"проблема","обида",0.165717,23
"дело","действие",0.165708,61
"язык","экшен",0.165704,18
"бизнес","бренд",0.165535,32
"жизнь","рамка",0.165247,16
"проблема","страх",0.164959,56
"заполнение","графа",0.164959,31
"заполнение","бланк",0.164959,31
"жизнь","сын",0.16486,33
"ребёнок","забота",0.164858,33
"действие","реакция",0.164821,25
"система","язык",0.16477,57
"дело","внимание",0.164684,51
"созависимость","нейрографик",0.164629,26
"созависимость","алко",0.164629,26
"алкоголизм","нейрографик",0.164629,26
"алкоголизм","алко",0.164629,26
"йог","сыроедение",0.164629,22
"сатсанг","ялюблюжизнь",0.164625,19
"дом","чан",0.164426,16
"работа","психолог",0.1643,20
"отношение","обида",0.164276,23
"ребёнок","поддержка",0.164114,76
"ощущение","свойство",0.16391,43
"деньги","клиент",0.163835,46
"жизнь","речь",0.163822,28
"автор","бестселлер",0.163637,14
"жизнь","спасение",0.1635,21
"жизнь","достоинство",0.163456,18
"проблема","желание",0.163405,57
"память","экшен",0.1634,18
"ютьюб","ялюблюжизнь",0.163345,16
"работа","дом",0.163323,82
"мысль","обстоятельство",0.16329,34
"сознание","карма",0.163228,13
"жизнь","жар",0.163076,24
"деньги","сумма",0.16299,34
"дорога","разговор",0.162868,46
"любовь","общение",0.162642,38
"желание","вина",0.162634,24
"диск","локация",0.162545,22
"развитие","сфера",0.162461,40
"страх","вина",0.162422,24
"психотерапия","нарко",0.162164,23
"наркомания","нарко",0.162164,23
"друг","горе",0.162075,42
"сила","личность",0.161941,27
"жизнь","сострадание",0.161634,14
"жизнь","эволюция",0.161634,14
"жизнь","город",0.161444,73
"жизнь","карма",0.161365,13
"ялюблюжизнь","веган",0.161318,21
"женщина","мать",0.161316,48
"дом","родитель",0.161069,39
"издание","противник",0.160968,37
"работа","руководство",0.16087,24
"желание","намерение",0.160804,57
"друг","здоровье",0.160703,48
"сила","восстановление",0.160662,25
"друг","организм",0.160661,35
"жена","муж",0.160646,37
"сила","земля",0.160491,52
"дверь","чистои",0.160348,12
"дверь","краи",0.160348,12
"тело","влияние",0.160197,36
"ощущение","проявление",0.160028,22
"женщина","отношение",0.159951,52
"игра","карта",0.15974,49
"противник","озвучка",0.159679,38
"бизнес","сотрудник",0.15953,33
"проблема","потеря",0.159414,29
"проблема","алкоголь",0.159332,24
"реклама","трафик",0.159213,19
"женщина","брак",0.158939,24
"работа","контакт",0.158809,34
"язык","преграда",0.158749,14
"заявка","номинация",0.158687,22
"наркомания","алкоголизм",0.158585,29
"бизнес","спикер",0.158545,19
"игрок","геймер",0.158496,19
"бизнес","ведение",0.158469,20
"озвучка","экшен",0.158305,18
"болезнь","кишечник",0.158231,15
"бланк","графа",0.157985,31
"жизнь","изложение",0.157913,23
"жизнь","черта",0.157896,21
"хакер","слож",0.157841,12
"ощущение","поведение",0.157624,31
"выход","головоломка",0.157599,19
"психотерапия","социальнаяпомощь",0.157554,26
"психотерапия","лечениенаркоманиивсанкт",0.157554,26
"психотерапия","пивнойалкоголизм",0.157554,26
"психотерапия","выводиззапоя",0.157554,26
"психотерапия","героиноваязависимость",0.157554,26
"психотерапия","логотерапия",0.157554,26
"психотерапия","телесноориентированнаятерапия",0.157554,26
"психотерапия","лечениенаркомание",0.157554,26
"психотерапия","лечениеалкоголизм",0.157554,26
"психотерапия","консультацияпсихолог",0.157554,26
"психотерапия","логос",0.157554,26
"наркомания","социальнаяпомощь",0.157554,26
"наркомания","лечениенаркоманиивсанкт",0.157554,26
"наркомания","пивнойалкоголизм",0.157554,26
"наркомания","выводиззапоя",0.157554,26
"наркомания","героиноваязависимость",0.157554,26
"наркомания","логотерапия",0.157554,26
"наркомания","телесноориентированнаятерапия",0.157554,26
"наркомания","лечениенаркомание",0.157554,26
